Sum of value,Column Labels,,,,,,
,tdel,,tdel Total,tdisp,,tdisp Total,Grand Total
Row Labels,baseline,rifampicin,,baseline,rifampicin,,
1,2.768570307,,2.768570307,20.40148847,,20.40148847,23.17005877
2,10,8.544004166,18.54400417,30,11.46330093,41.46330093,60.00730509
3,0.586146248,1.28205372,1.868199968,22.79401811,27.83204856,50.62606667,52.49426664
4,1.49067E-20,1.232091161,1.232091161,487.9933321,43.05770591,531.0510381,532.2831292
5,2.447137539,,2.447137539,24.26016558,,24.26016558,26.70730312
6,3.81738E-14,5.686483888,5.686483888,627.6681158,18.91067409,646.5787899,652.2652738
7,32.96727116,1.77064E-11,32.96727116,786.0242775,92.33363564,878.3579131,911.3251843
8,5.888579692,5.172296476,11.06087617,6.269609786,37.56458475,43.83419454,54.89507071
9,10,6.83999912,16.83999912,30,26.42434563,56.42434563,73.26434475
10,6.274202993,10,16.27420299,12.20835465,30,42.20835465,58.48255764
Grand Total,70.93190794,38.75692853,109.6888365,2047.619362,287.5862955,2335.205658,2444.894494
,7.22626911,,,28.62666101,,,
